topic,original tweet ID,original sentiment,original tweets,Tweet1,Tweet2,New label
@microsoft,632374683334258688,Negative,"Hey 
@Microsoft
, I reserved my copy of 
@Windows
 10 back in June, but i haven't been invited to download. Any updates on the timeline?","Just got upgraded to 
@Windows
 10 this morning. Loving it so far!","@Windows
 I haven't gotten a good feel for Cortana yet, but I'm sure she will become my favorite in time. Edge>IE though",Positive
@microsoft,633757225945665537,Positive,"I traveled to Redmond today. I'm visiting with 
@Microsoft
 
@SQLServer
 engineers tomorrow - at their invitation. Feeling excited.","I'm reading, Fundamentals of Azure: 
@Microsoft
 #Azure Essentials by Michael Collier & Robin Shahan. Great book.",Free eBooks from Microsoft Press http://sqlblog.com/blogs/sergio_govoni/archive/2016/05/07/free-ebooks-from-microsoft-press.aspx #sqlserver #feedly,Positive
ac/dc,634869623075303424,Positive,"@GoldenBrookss
 @hab4lyf73  Right now, don't have any for the weekend. By Tuesday heading to AC/DC concert and then NYC!","Not their biggest hit at all but one of my favorites from AC/DC. THE JACK!

https://youtu.be/eVlRQn6AMYs","Not their biggest hit at all but one of my favorites from AC/DC. THE JACK!

https://youtu.be/eVlRQn6AMYs",Positive
ac/dc,641605506973306880,Negative,Guy I'm working with probably disappointed that I don't care he's going to see AC/DC tomorrow,You know what's a crime against music Australia? AC/DC. That band fucking sucks,You know what's a crime against music Australia? AC/DC. That band fucking sucks,Negative
amazon,641510138235367424,Negative,"@AmazonHelp
 You may please check my pending complaint with Amazon for which I write many emails and called customer care.","@AmazonHelp
 Lemme know email of ur higher authority as I'm frustrated with ur customer care. 
@amazon","Don't buy from 
@amazon
 #amazon.in or be extra careful while buying as they really don't care if u get poor quality material.",Negative
amazon,641626377142169601,Positive,"Amazon Hiring Fair: $11.25 hr. with a shift differential - Free Transportation - Benefits
September 10th 2015... http://fb.me/3kUvzjeQz",Today's the day guy's Amazon will be here from 10- 12pm come check them out we could have a job just for you!,Fort Worth Housing Authority and Amazon will be at our community Candletree Apartments this Friday November 7th... http://fb.me/3C6z91a9h,Positive
amazon prime,628810212095475712,Negative,Trying to watch Any Given Sunday on Amazon Prime and there's big chunks of the film cut out,Amazon Prime just encourages you to buy things for the dubious pleasure of having them arrive posthaste,Amazon Prime just encourages you to buy things for the dubious pleasure of having them arrive posthaste,Negative
amazon prime,629606784706195456,Positive,"Amazon Prime summary: great if you order loads of stuff, Sunday delivery, home essentials with Now. Prime video is a nice bonus.",I think I’d do Amazon Prime if they guaranteed I wasn’t paying Clarkson’s wages.,Any UK folks got Amazon Prime? Worth it?,Positive
amazon prime day,621399334806884352,Negative,"Amazon Prime day is pretty much a bust at this point. Black Friday, its up to you to save us.",@TowerTwd Haha. Yeah. Just would be nice to see some gear I need be on sale. Not a single wish list item has been on sale.G11,"@Eneija
 @Fultron84 Sitting in your chair and pumping your arms or dancing around a bit is cool. But standing up and doing a dance",Negative
amazon prime day,621420485411082241,Negative,"Amazon Prime Day: What all the fuss is about: Amazon's Prime Day promised massive deals rivaling Black Friday,... http://usat.ly/1HO0P1i","Amazon's ""Prime Day"" sparks summer sales fury: Amazon's Prime Day launches a summer sales fury.
        http://usat.ly/1HE2xCn","Amazon Prime Day deals that beat Black Friday: Prime Day's best deals
        http://usat.ly/29Ej6Js",Positive
angela merkel,621701633735585792,Negative,This has just brought a tear to my eye: Angela Merkel tells sobbing asylum seeker why she cannot stay in Germany http://theguardian.com/world/2015/jul/16/angela-merkel-comforts-teenage-palestinian-asylum-seeker-germany?CMP=share_btn_tw,"Piers Morgan says Hillary Clinton, Theresa May & Angela Merkel could form a 'Triumvirate of girl power'... That sound btw is me screaming.",Angela Merkel timeline is fab. Also. POLITICAL ORGASM FACES http://huff.to/1ig9jlA,Positive
angela merkel,638129191817379840,Positive,"They are fellow human beings' Angela Merkel on the refugee crisis. At last, a leader who is also a human being;",#qanda Angela Merkel is so impressive.,To add to my ongoing SILENCE re Cologne attacks I agree with Merkel that perpetrators who are not residents or citizens should be deported.,Positive
apple,641576280517947393,Positive,you can live stream today's Apple event here at 10 PDT : ,My first impressions of the Apple watch are positive - serious bling with futuristic human machine interface and applications,"Apple is inventing the future again with Apple Pay, Apple Watch and iPhone 6 - I am watching a recording of yesterday's launch event",Positive
apple,641654885583351808,Negative,"Wait.  So did Apple just give folks another reason to upgrade to Windows 10?  
http://apple.com/apple-events/september-2015/","Apple MacBook vs. HP EliteBook Folio: Face-Off
Spoiler: Overall Winner: HP EliteBook Folio
https://shar.es/1eSsAf via 
@sharethis","Apple has learned nothing from Microsoft's Surface
http://theverge.com/2015/11/10/9704020/apple-tim-cook-ipad-pro-replaces-a-pc?utm_campaign=theverge&utm_content=article&utm_medium=social&utm_source=twitter via 
@verge",Negative
apple watch,628155253758693376,Positive,Apple Watch now works with August`s designer smart lock http://bit.ly/1K0MakX #charlesmilander,"Apple shares new iPhone 7, Apple Watch Series 2 ads with focus on water resistance, camera ",What to do when your Apple Watch gets wet – CNET ,Positive
apple watch,634728231816548353,Negative,Hooks looks like we may not have Sapphire Crystal on the Apple Watch,"Interesting, it would look great on the Apple Watch","I love to fill the bottom row, allowing my homescreen to look great on the Apple Watch",Positive
arsenal,640662274131259392,Negative,"@ibster45
 Even if Arsenal admits he's out 6 months, we're not making a major signing in Jan... that's if we make any signings at.E104","I'm no fan of the Eng NT but as an Arsenal fan, I'm troubled by the lack of representation. We're ... http://tmi.me/1fjXGu","The #Cowboys' last 2 losses have pissed me off. 
@Arsenal
's loss today infuriates me! 

And yes, there's a big damn diff btw the 2 feels😑",Positive
arsenal,641228254758744064,Positive,"Be fair, Cde. It's like the way my Arsenal will viciously fight any team that tries to come 4th. It's our spot.  https://x.com/bekizw/status/641214449010012160",You gotta pity Ozil and Sanchez. Quality players that Wenger brought to Arsenal just to surround them with mediocrity.,The biggest problem at Arsenal is nobody at Arsenal thinks there's a problem.,Positive
barca,639046234817167360,Positive,"Real Madrid get better of De Gea saga, Barca goalies also under pressure: While transfer deadline day may have... http://es.pn/1XfqqeK","Rafinha stars, 'MSN' struggle for Barca against lowly Granada: Rafinha's fifth goal of the La Liga campaign w... http://es.pn/2frBN5X",Lionel Messi's injury overshadows Barca's 1-1 draw with Atletico Madrid: ESPN FC's Paolo Bandini discusses ho... http://es.pn/2cRJMHj,Positive
barca,638680730160115712,Negative,@AnderJuanderful when managers/players make it a matter of their ego then things always go bad. That's his problem.. 2nd stint at Barca e.g,So back to football. I see the Barca youth side won #LaLigaPromises last night beating Valencia in the final.. Xavi Simmons getting praise!,"HT Real Madrid 0-2 Barca

Started off a bit rashly. Madrid caused us problems with the pressing at times but the early goal was massive",Positive
