Original Tweet,Original Label,Original Target,Orignal Tweet,Tweet 1,Tweet 2,New label,New Target
1.25E+18,offensive,['Other'],Why are you repeating yourself? Are you a little retarded?,"Hit a nerve did I? Childless? Not to worry. You don't have the maturity anyway. For someone who thinks he has magnetic attraction you are spending too much time on an old man. Focus on teenagers, they might be impressed with your humour. I think you are harmless but lonely. 😢👍",Shame they don't function. Childless at your age. 😂Still the gene pool has improved for it. People who brag about themselves are usually just a little bit short of confidence. You keep hiding behind your silly Twitter handle.,offensive,['Other']
1.16E+18,hatespeech,['African'],"there’s too many wypipo asking what this is and if they can get in....

this is a niggers only event","just because someone has notoriety doesn’t mean they’re not a complete dumbass. look at ben carson. we as a black community cannot grow if we still view such arbitrary things like race mixing as detrimental. so once again, your statements were ignorant and of ill taste",y’all really don’t get how much seeing representation means to minorities. like i definitely acknowledge my privilege as a lighter black girl but seeing dark skins getting important roles outside the “angry black girl” EXCITES me,offensive,['Caucasian']
1.18E+18,normal,['Women'],"Pac said all you mfs fuck you too , fuck u die slow mfs , my 44 make sure all y’all kid’s don’t grow",Literally I loved and admired everything about you that hate about yourself.,I swear I’m with all this cute shit u just gotta show me you’re worth it .,offensive,['Other']
1.18E+18,normal,['None'],Dis lil white bitch got da poker 🤦🏽‍♂️,"@loveetmoniquee 
if dey killed a white mf dey would make kids at school have a moment of silence fa da mf",im finna get me a white bitch.. she dont wanna argue or nothin.. she just happy to be alive..,offensive,['Caucasian']
1.18E+18,offensive,['None'],"This is a fucking disgrace. Shameless cunts.
",Only a blind mule would blame Courtois for the goals.,I can’t believe a goal keeper being jeered at home why don’t you celebrate the other team’s goals too you cunts.,offensive,"['Women', 'Other']"
1.18E+18,normal,['None'],Yeah just the backwoods redneck portion of society in Oklahoma that doesn’t even know other sports exist.,Lol 😂 OU isn’t even the best university in the state. OU is the only flagship state university in the country that isn’t considered the best university in the state. Also 122nd in producing Olympians and miles behind Oklahoma State as an athletics program. Respect Ok ST not OU.,"I don’t care what you watch, that’s my point. OU is a one sport school and an unranked institution caught cheating for 20+ years. Not to mention its inability to win in the only sport like you mention that matters to you guys. Like I said previously their is just no comparison.",offensive,['Other']
1.18E+18,normal,['None'],"*Millions of Yemeni children starve because of Trump policies* 

Republicans: I sleep 

*A woman gets raped and doesn’t want to carry his baby* 

Republicans: real shit","I'm an American, I love the American dream! 

Wait, someone coming from a working background becoming a politician? Outrageous. 

However, do sign me up for more Republican presidents with no political experience whatsoever.","You don’t seem to be concerned at the fact that a Republican government is cracking down on peaceful protesting, then?",normal,['None']
1.18E+18,normal,['Islam'],"killer of gandhi=patriot/not 
= is a bhakt of mahakaal/kali-not like a radhekrishna bhakt 
technics diff-the devotion-unquestionable 
@PadmajaJoshi 

@ashutosh83B 

@advmonikaarora 

@_sabanaqvi 

@sambitswaraj 

@varnishant 

@TimesNow 

the unsatiable lust of anti-bjpians","The consistent stretching of needless #Godse terrorist factor by inc will eventually bring to the fore whether Gandhi was a patriot/not 
Which especially in the successive prevalent period by chance will tend to prove in the negative","If and definitely #Godse was a patriot till the moment he killed gandhi 
I cannot understand ..why mere act can suddenly make him a traitor/nonpatriot ..especially ..that when the act had arisen out of an innate desire to protect india .. right/wrong=choice",normal,['None']
1.14E+18,offensive,"['Refugee', 'Other']","2 nights 

4 hours 

20 candidates 

and still ZERO mentions of threats to Israel or the menace of anti-Semitism. 

#DemDebate",IT’S ILHAN OMAR’S PARTY NOW: There was NO MENTION of #Israel or the scourge of anti-Semitism at tonight’s #DemDebate. #JEXIT,"President Obama’s Defense Secretary Robert Gates said Joe Biden ""has been wrong on nearly every major foreign policy and national security issue over the past four decades."" #DemDebate",normal,['None']
1.14E+18,normal,['Caucasian'],"Hate has no place in Los Angeles. 

On Sunday June 9 the suspect disrupted a religious service, performing Nazi salutes, causing the religious service to stop. We need your help to identify & arrest him for Hate Crime/Trespassing. Any info contact LAPD Major Crimes (213) 486-7280","Update: The below mentioned wanted suspect has been identified, questioned, and released pending review by the City Attorney’s Office.","There’s no debate here...our LAPD Officer came up a bit short in the pie eating contest. That might be the face of defeat, but it’s also the face of true community policing.",normal,['None']
1.18E+18,hatespeech,['Asian'],ching chong 100,I rlly dn't feel like doin anything 🙄,"me a while ago: ""imma end this day or this day amma end me"". 

di ko lang sure kung sino ba talaga nanalo hehe ☻☻",hatespeech,['Asian']
1.18E+18,offensive,['Women'],"The white delegation has waived that white devil woman.
","Ill throw a crushed up grapefruit white claw at his stupid face 
","I saw a white dude walking in Covington rocking a fishnet durag...so, on brand for ol C-Town.",offensive,['Caucasian']
1.12E+18,normal,['Islam'],"I ran on a promise to end the President’s hateful Muslim ban. 

And tomorrow we will introduce a bill do just that. No one should be denied basic rights because of their religion, race or national origin. #NoBanAct ✊🏽","Yesterday, Congress voted to lift a 181 year ban on headwear to make the #116thCongress more inclusive for all. 

I thank my colleagues for welcoming me, and I look forward to the day we lift the Muslim ban separating families all over the U.S. from their loved ones.","The #116thCongress has SO much to be proud of: 

✅1st Somali-American + Refugee 
✅1st Muslim women ( 
@RashidaTlaib 
& I) 
✅1st Indigenous women 
✅1st Palestinian-American 
✅Youngest (28) 
@AOC 

✅Record 100+ women 
✅Largest ever Black (55), Hispanic (37), & Progressive (98) caucuses",normal,['None']
1.18E+18,offensive,['Other'],"Whenever I say “redneck” in front of white people they act like I said a bad word
",Or if you say hillbilly they’ll act like you called somebody a nigger,“Why you got a redneck for a partner” lmfaooo,offensive,['Other']
1.12E+18,offensive,['Refugee'],"BREAKING: Trump's plan to send illegal immigrants to sanctuary cities is undergoing review, Sarah Sanders says.","Trump turning his head to show a chart how bad illegal immigration is, is what saved his life. 

Let that sink in.",Did Biden just say the reason why we have such a great economy is because of the 15 million illegal aliens that came into our Country?,normal,['None']
1.18E+18,hatespeech,['Homosexual'],Shoutout to all the Dykes out here still fucking niggas.,I fucking love being black.,"Y’all niggas be Draco’d up in the hood, Get connected and have the same energy outside the country and maybe y’all wouldn’t turn up missing ..",offensive,['African']
1.18E+18,normal,['None'],Ah man i fucking hate you so much,Talk to me like i'm an old guy. How do you aim with a goddamn phone?,And play it right now?,offensive,['Others']
1.18E+18,offensive,['Homosexual'],I'mma get shadow keep. Join me in doing so faggots.,Bruh check out my new home boi. Cute mother fucker.,Imagine if fake taxi made a fake hearse series.,offensive,['Homosexual']
1.18E+18,hatespeech,['African'],Got a lot of them niggers You better And it's active Yeah popping willies on the wall I'm saying?,"Fuck that nigger, you was one them ghetto children It's thirty years of them niggers You know what I'm","Fuck that nigger, you waiting to Messiah Told him I pray to have it And they ain't even dancing And then",offensive,['African']
1.18E+18,normal,['Women'],"My guess is that if she did get raped, she wouldn’t murder the innocent baby! Many don’t.","“And she will have a son, and you are to name him Jesus, for he will save his people from their sins.” 🙌❤️🙏 
Matthew 1:21 NLT","She has buried the pain deep inside. If/when she ever accepts it, our Heavenly Father is waiting with open arms.",normal,['Women']
1.18E+18,hatespeech,['Caucasian'],"Alot of people just dont say it but she is not the only white nigger to think this way she is just another white nigger impowerd by trump to show her stupid way of thinking 
White niggers are the worst",But would you risk your job and friends to stand up for a black person in front of your other white teacher or other peers,"So is all the white people that clame there not racist GONNA STAND UP AND ADDRESS 
@realDonaldTrump 
bigotry and racist behavior",hatespeech,['Caucasian']
1.12E+18,hatespeech,['Homosexual'],"Additionally, furries can also transmit the infectious disease of furfaggotry to others.","Additionally, furries can also transmit the infectious disease of furfaggotry to others.","Additionally, furries can also transmit the infectious disease of furfaggotry to others.",hatespeech,['Others']
1.08E+18,normal,['Islam'],"instead of “ til death do us apart “ , in islam we have “ til jannah unites us together “ and its the cutest thing ever",wallah i was so happy that i went because it was sooo heart warming knowing all these people that showed up supports us 🙏🏼💗 this white lady was talking to me outside and she was saying how this changed her view on our religion and on muslims,everyone knows your an ex muslim . just shut up and continue w your life bc the rest of us don’t care what you gotta say about muslims . https://t.co/5ELBR0hpEP,normal,['Others']
1.18E+18,normal,['None'],Nigga at work said I look like a subway surfer,Stumbled on some project pat yesterday and realized how much of a influence this nigga is,Bruh I’m at work crying cause I forgot bout that shit. Nigga was speeding past interesting parts of the story,normal,['None']
1.18E+18,normal,['None'],I raped a sheep because it sneezed at a pig.,I fucked my dog because it raped a pig.,I raped a chicken because it touched Dan.,offensive,['Others']
1.18E+18,offensive,['None'],Barn full of white bitches,Bout to start a white woman breeding farm #SupportBlackBusiness 💯💯💯,Taking my white woman to the vet. What are y'all up to today?,hatespeech,['Caucasian']
